Rank,Exam_Score,Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Tutoring_Sessions,Teacher_Quality
125,74,26,92,No,5,0,High
125,74,25,94,No,5,1,Medium
125,74,28,93,No,7,0,Medium
125,74,23,99,No,8,5,Medium
125,74,26,100,Yes,7,1,Medium
125,74,35,84,Yes,8,6,High
125,74,24,98,Yes,7,2,Medium
125,74,29,78,Yes,4,5,High
125,74,26,96,Yes,7,3,Medium
125,74,27,89,Yes,6,3,Medium
125,74,26,94,No,5,1,High
125,74,24,95,Yes,8,1,High
125,74,24,98,Yes,6,1,Medium
125,74,32,97,No,5,1,Medium
125,74,31,93,Yes,5,2,Medium
125,74,18,94,Yes,8,3,High
125,74,35,85,Yes,6,1,Medium
125,74,29,91,Yes,7,2,High
125,74,30,93,Yes,7,3,Medium
125,74,18,95,Yes,7,5,Medium
125,74,28,97,No,9,3,High
125,74,21,88,Yes,7,2,Medium
125,74,27,91,Yes,5,1,High
125,74,36,88,No,8,0,Medium
125,74,25,94,No,5,4,High
125,74,21,97,Yes,7,1,High
125,74,23,96,Yes,8,3,Low
125,74,22,91,Yes,6,3,Medium
125,74,30,96,Yes,10,0,High
125,74,26,99,No,6,2,Medium
125,74,26,93,No,6,6,Medium
125,74,28,97,Yes,7,2,Medium
125,74,20,97,Yes,7,2,High
125,74,33,93,Yes,7,0,Medium
125,74,24,93,Yes,7,5,Medium
125,74,31,91,Yes,6,2,High
125,74,29,82,No,5,2,High
125,74,29,97,No,7,0,Medium
125,74,23,97,No,7,0,High
125,74,30,90,No,10,2,Medium
125,74,27,88,Yes,7,3,Medium
125,74,29,94,Yes,4,1,Medium
125,74,26,98,Yes,9,4,Low
125,74,38,86,No,6,1,High
125,74,23,89,No,6,4,High
125,74,27,95,No,8,3,Medium
125,74,23,100,Yes,9,4,High
125,74,29,100,Yes,7,3,Medium
125,74,27,90,No,7,2,Medium
125,74,17,96,Yes,8,4,Low
125,74,31,96,Yes,9,0,Medium
125,74,30,98,No,7,1,Medium
125,74,23,98,Yes,6,1,High
125,74,25,97,Yes,5,2,Medium
125,74,31,92,Yes,7,3,High
125,74,26,90,Yes,8,1,High
125,74,31,96,No,5,3,High
125,74,27,99,No,9,0,Medium
125,74,25,94,No,8,6,Medium
125,74,32,87,Yes,4,2,Medium
125,74,30,97,Yes,6,1,Medium
125,74,27,96,Yes,7,1,Medium
125,74,23,97,Yes,9,2,High
125,74,32,100,Yes,5,4,Medium
125,74,30,95,Yes,7,3,Medium
125,74,30,89,No,6,3,Medium
125,74,27,99,No,10,2,Medium
125,74,26,93,Yes,6,1,High
125,74,31,99,Yes,4,1,High
125,74,19,89,No,9,5,Medium
125,74,22,96,Yes,7,4,Medium
125,74,25,96,Yes,6,3,Medium
125,74,28,98,Yes,7,1,High
125,74,26,99,Yes,10,1,Medium
125,74,30,85,No,4,2,High
125,74,23,96,Yes,5,3,High
125,74,27,96,No,7,2,Medium
125,74,27,98,No,7,1,Medium
125,74,26,97,Yes,7,2,Medium
125,74,24,96,Yes,7,1,Medium
125,74,23,98,Yes,6,3,High
125,74,38,90,Yes,4,2,Medium
125,74,27,100,No,7,1,High
125,74,30,100,Yes,6,0,Low
125,74,34,97,No,8,2,Medium
125,74,24,95,Yes,7,1,High
231,73,22,89,Yes,6,1,High
231,73,27,97,Yes,8,0,Medium
231,73,27,98,Yes,7,1,Medium
231,73,21,99,No,8,4,Medium
231,73,28,100,Yes,6,1,Medium
231,73,26,94,Yes,10,2,Medium
231,73,38,86,Yes,7,3,Medium
231,73,27,95,No,7,3,High
231,73,30,88,No,9,3,Low
231,73,21,98,No,5,3,High
231,73,27,97,Yes,9,1,
231,73,30,88,Yes,9,1,High
231,73,26,98,Yes,9,1,Low
231,73,29,84,Yes,6,0,High
231,73,23,98,Yes,6,1,Medium
231,73,19,90,Yes,5,0,High
231,73,23,95,Yes,7,2,Medium
231,73,24,89,Yes,7,2,High
231,73,28,89,Yes,4,3,High
231,73,35,90,Yes,7,0,Medium
231,73,29,95,Yes,7,1,Medium
231,73,24,92,Yes,5,3,High
231,73,26,93,No,5,1,High
231,73,22,94,Yes,8,2,
231,73,32,96,Yes,7,1,Medium
231,73,27,92,No,6,0,High
231,73,25,95,No,7,7,Medium
231,73,27,90,Yes,9,1,High
231,73,27,99,Yes,6,3,Medium
231,73,21,96,No,8,1,Medium
231,73,21,95,Yes,6,1,High
231,73,27,99,No,7,2,High
231,73,29,90,Yes,7,1,Low
231,73,27,99,No,5,0,High
231,73,28,91,Yes,6,1,High
231,73,25,98,Yes,9,1,High
231,73,19,93,No,7,5,High
231,73,32,88,Yes,7,1,High
231,73,26,81,Yes,8,2,High
231,73,23,91,Yes,6,3,Medium
231,73,22,93,No,9,2,High
231,73,24,92,No,7,0,Medium
231,73,24,95,Yes,8,2,High
231,73,18,95,Yes,8,2,High
231,73,29,96,Yes,9,0,High
231,73,24,93,Yes,8,0,Medium
231,73,23,100,Yes,5,4,Medium
231,73,33,90,Yes,9,3,High
231,73,27,94,Yes,7,3,Medium
231,73,26,99,Yes,8,4,Medium
231,73,22,99,Yes,4,2,High
231,73,24,99,Yes,7,0,Medium
231,73,32,84,Yes,10,1,Medium
231,73,26,93,No,6,1,High
231,73,12,96,Yes,5,3,Medium
231,73,24,98,Yes,9,2,High
231,73,28,87,Yes,4,2,High
231,73,26,97,Yes,6,2,Medium
231,73,28,81,Yes,8,1,Medium
231,73,19,99,Yes,8,0,Medium
231,73,29,98,No,5,2,Medium
231,73,30,84,Yes,7,3,Medium
231,73,31,88,Yes,6,2,Low
231,73,20,98,Yes,7,2,Medium
231,73,29,95,No,9,1,Medium
231,73,26,98,Yes,4,1,Medium
231,73,31,84,Yes,8,1,Medium
231,73,18,95,No,8,3,Low
231,73,19,96,Yes,7,3,High
231,73,22,98,Yes,6,4,Medium
231,73,21,93,Yes,6,1,High
231,73,25,97,Yes,5,1,High
231,73,22,93,Yes,4,1,Low
231,73,15,100,No,8,2,High
231,73,34,84,Yes,6,1,Medium
231,73,30,88,Yes,6,4,Medium
231,73,29,83,No,5,0,High
231,73,23,95,Yes,6,2,Medium
231,73,34,93,No,6,2,Medium
231,73,19,95,Yes,9,3,Medium
231,73,31,96,Yes,8,2,Medium
231,73,30,87,Yes,6,1,Medium
231,73,27,79,Yes,6,3,High
231,73,18,95,Yes,6,6,High
231,73,26,98,Yes,7,4,Medium
231,73,34,72,Yes,9,1,Medium
231,73,23,87,No,6,3,Medium
231,73,27,73,Yes,7,5,High
231,73,26,93,No,4,4,Medium
231,73,28,80,No,6,2,Medium
231,73,39,75,Yes,6,1,Low
231,73,23,95,Yes,8,1,Medium
231,73,19,99,Yes,5,3,High
231,73,30,91,No,9,3,High
231,73,28,87,No,8,2,Low
231,73,30,86,Yes,6,0,Low
231,73,23,89,Yes,7,2,High
231,73,25,90,Yes,8,2,Medium
231,73,30,88,Yes,6,1,Medium
231,73,27,94,Yes,7,1,High
231,73,32,93,No,6,0,Medium
231,73,25,99,No,9,1,High
231,73,18,98,Yes,7,2,High
231,73,27,99,Yes,5,2,Low
231,73,25,87,Yes,8,2,Medium
231,73,29,97,Yes,7,1,Low
231,73,25,97,Yes,6,1,High
231,73,23,87,Yes,9,1,Medium
231,73,30,86,No,8,4,Low
231,73,23,94,Yes,6,0,High
231,73,28,95,No,8,1,Medium
231,73,23,87,Yes,10,1,Medium
231,73,23,97,Yes,9,2,Medium
231,73,31,77,No,5,2,High
231,73,25,95,Yes,7,2,Medium
231,73,28,96,No,4,5,Medium
231,73,23,94,Yes,8,2,High
231,73,30,92,Yes,7,3,Medium
231,73,25,95,Yes,6,1,Medium
231,73,16,100,Yes,7,2,Medium
231,73,27,92,Yes,9,2,High
231,73,30,87,Yes,9,2,High
231,73,28,94,Yes,6,1,High
231,73,23,94,No,5,2,High
231,73,20,99,Yes,5,4,Medium
231,73,37,79,No,6,1,Medium
231,73,24,95,Yes,6,3,Medium
231,73,21,94,No,5,2,High
231,73,24,97,Yes,8,3,
231,73,23,99,No,7,1,Medium
231,73,30,88,Yes,6,4,Medium
231,73,27,96,Yes,6,2,Medium
231,73,29,78,Yes,7,2,Medium
231,73,30,99,Yes,6,0,Medium
231,73,28,95,No,9,2,Medium
231,73,24,92,Yes,5,1,Medium
231,73,20,97,Yes,9,3,High
231,73,32,94,Yes,9,1,Medium
231,73,29,93,No,7,5,Medium
231,73,24,89,No,4,1,High
231,73,33,95,Yes,6,2,High
372,72,30,82,Yes,7,3,High
372,72,17,98,No,6,2,Medium
372,72,23,94,No,8,3,Medium
372,72,24,93,Yes,8,1,Medium
372,72,38,82,No,6,2,Medium
372,72,19,98,Yes,5,2,Medium
372,72,20,94,No,8,3,Medium
372,72,26,98,No,8,1,Low
372,72,31,82,Yes,7,2,Medium
372,72,38,80,No,5,1,Medium
372,72,31,79,No,7,1,High
372,72,21,96,Yes,5,0,High
372,72,25,100,No,6,1,Medium
372,72,27,84,No,8,3,High
372,72,25,99,No,6,0,Medium
372,72,25,91,No,7,3,Medium
372,72,18,96,Yes,9,1,Medium
372,72,27,86,No,7,1,Medium
372,72,30,79,No,7,3,High
372,72,23,92,No,9,1,High
372,72,31,93,No,8,2,High
372,72,27,78,No,8,0,Medium
372,72,24,91,Yes,7,2,Medium
372,72,23,97,Yes,6,1,Medium
372,72,25,83,Yes,7,2,Medium
372,72,16,99,Yes,6,1,High
372,72,33,86,Yes,7,0,High
372,72,35,91,Yes,10,1,Medium
372,72,28,84,Yes,9,0,Medium
372,72,22,99,Yes,7,2,High
372,72,20,98,No,7,1,Medium
372,72,22,99,No,4,2,Medium
372,72,19,86,Yes,7,1,High
372,72,23,87,No,5,2,Medium
372,72,18,99,Yes,8,4,Medium
372,72,36,89,Yes,8,2,High
372,72,19,99,Yes,8,1,Medium
372,72,20,91,No,6,3,High
372,72,30,80,No,5,0,Medium
372,72,30,99,No,5,0,Medium
372,72,25,98,Yes,8,0,Medium
372,72,25,98,Yes,7,2,Low
372,72,26,98,Yes,7,2,Medium
372,72,27,93,Yes,7,1,Medium
372,72,35,84,No,5,1,Medium
372,72,23,87,Yes,6,1,High
372,72,21,97,Yes,6,2,Medium
372,72,25,93,No,8,2,Medium
372,72,25,90,Yes,7,1,Medium
372,72,21,90,Yes,10,2,High
372,72,23,97,Yes,8,1,High
372,72,29,79,No,5,0,High
372,72,30,91,Yes,6,2,High
372,72,11,99,Yes,7,3,Medium
372,72,28,88,Yes,8,3,Medium
372,72,31,88,No,7,0,Medium
372,72,18,95,Yes,9,4,Medium
372,72,24,96,No,8,2,Low
372,72,28,85,Yes,7,1,High
372,72,19,97,Yes,9,2,High
372,72,21,97,Yes,8,2,High
372,72,23,93,No,6,1,Medium
372,72,20,98,Yes,6,4,Medium
372,72,28,80,No,7,2,Medium
372,72,22,96,Yes,6,1,Medium
372,72,18,97,Yes,6,0,High
372,72,28,81,Yes,7,3,Medium
372,72,23,90,No,7,1,Medium
372,72,29,100,Yes,8,0,Medium
372,72,23,98,Yes,8,0,High
372,72,19,99,No,6,1,High
372,72,26,88,Yes,5,1,High
372,72,29,92,No,4,2,Medium
372,72,22,99,Yes,6,3,Medium
372,72,21,91,No,6,0,Medium
372,72,22,95,Yes,6,1,Medium
372,72,31,92,Yes,4,2,High
372,72,22,95,No,9,0,High
372,72,23,87,Yes,8,0,Medium
372,72,22,79,No,5,4,High
372,72,21,88,No,7,4,Medium
372,72,19,97,Yes,6,2,Medium
372,72,29,81,No,7,2,Medium
372,72,26,96,Yes,5,1,Medium
372,72,33,76,Yes,10,1,Medium
372,72,26,91,Yes,7,1,Medium
372,72,31,76,Yes,9,1,Medium
372,72,29,95,No,9,1,High
372,72,23,95,Yes,7,3,Medium
372,72,21,88,Yes,6,2,Medium
372,72,28,85,Yes,7,2,High
372,72,29,87,Yes,10,1,Medium
372,72,22,97,Yes,6,1,High
372,72,14,98,Yes,7,3,Medium
372,72,29,97,No,8,1,Medium
372,72,22,89,Yes,5,2,Medium
372,72,29,95,Yes,4,0,Medium
372,72,35,78,Yes,10,1,Medium
372,72,31,80,Yes,6,1,High
372,72,24,90,Yes,6,1,High
372,72,22,98,Yes,8,4,Medium
372,72,22,99,Yes,5,0,High
372,72,23,98,No,9,1,Medium
372,72,16,86,No,8,4,High
372,72,26,89,Yes,7,2,High
372,72,20,89,Yes,8,2,Medium
372,72,20,98,No,7,4,Medium
372,72,26,96,Yes,10,2,Medium
372,72,28,98,Yes,7,1,Medium
372,72,20,96,No,6,5,High
372,72,35,72,Yes,5,1,Medium
372,72,24,89,Yes,8,1,High
372,72,28,83,No,6,1,High
372,72,20,96,No,4,3,Medium
372,72,21,94,Yes,8,0,Medium
372,72,25,91,Yes,7,2,Medium
372,72,29,88,No,7,2,Low
372,72,26,100,No,7,1,Medium
372,72,26,93,No,8,1,High
372,72,27,95,No,7,3,Medium
372,72,26,93,Yes,9,0,Medium
372,72,22,97,Yes,6,1,Low
372,72,30,85,Yes,6,1,Medium
372,72,27,96,Yes,9,0,High
372,72,26,86,Yes,9,3,Medium
372,72,24,88,No,10,2,High
372,72,24,96,No,8,1,Medium
372,72,19,99,No,7,1,Medium
372,72,30,73,Yes,8,2,High
372,72,20,97,Yes,7,1,Medium
372,72,25,93,No,5,1,Medium
372,72,20,90,Yes,6,2,High
372,72,28,89,No,8,0,Medium
372,72,18,99,No,6,5,Medium
372,72,25,87,No,7,4,Low
372,72,27,80,No,10,4,Low
372,72,29,86,No,10,1,High
372,72,32,84,Yes,8,1,Medium
372,72,22,85,No,8,5,High
372,72,25,87,Yes,6,3,Medium
372,72,30,81,No,6,0,Medium
372,72,27,96,No,9,0,Medium
372,72,19,97,No,6,2,Medium
372,72,32,87,Yes,7,0,Low
372,72,20,89,Yes,10,3,Medium
372,72,17,100,No,8,0,High
372,72,28,99,Yes,8,0,Medium
372,72,23,97,Yes,7,2,High
372,72,28,92,No,5,1,Low
372,72,17,96,Yes,7,2,High
372,72,20,92,Yes,4,0,Medium
372,72,23,90,Yes,8,2,Low
372,72,7,99,Yes,9,3,High
372,72,31,90,No,7,0,Medium
372,72,31,85,No,8,2,High
372,72,21,96,Yes,4,2,Medium
372,72,30,96,Yes,9,0,Medium
372,72,23,100,Yes,4,2,Medium
372,72,16,96,Yes,9,0,High
372,72,24,95,Yes,6,2,Medium
372,72,27,93,Yes,9,1,Medium
372,72,23,84,Yes,8,1,Medium
372,72,26,91,Yes,7,3,Medium
372,72,15,96,Yes,7,3,Low
372,72,29,74,Yes,6,3,High
372,72,30,84,No,6,2,High
372,72,21,91,Yes,9,5,Medium
372,72,18,98,Yes,7,3,Medium
372,72,27,83,Yes,9,2,High
372,72,20,98,Yes,7,2,High
372,72,16,92,Yes,4,6,Medium
372,72,24,86,Yes,10,0,High
372,72,21,98,Yes,9,0,High
372,72,23,91,No,10,2,Medium
372,72,30,79,Yes,6,1,Medium
372,72,24,92,No,9,2,Medium
372,72,24,99,No,4,2,Medium
372,72,31,78,Yes,6,0,High
372,72,27,86,Yes,8,2,High
372,72,29,85,Yes,9,4,Medium
372,72,28,74,No,8,2,Medium
372,72,25,91,Yes,8,3,Medium
372,72,26,86,Yes,6,2,Medium
372,72,20,98,Yes,8,3,Medium
372,72,32,83,Yes,6,1,Medium
372,72,29,84,Yes,10,3,High
372,72,23,92,Yes,4,0,Medium
372,72,18,96,No,7,2,High
372,72,26,100,No,9,2,Medium
372,72,24,88,Yes,6,1,Low
372,72,27,87,Yes,6,4,Medium
372,72,27,90,No,8,0,Medium
372,72,23,87,Yes,6,3,Medium
372,72,24,97,Yes,6,1,High
372,72,26,83,Yes,7,3,Medium
372,72,20,97,Yes,8,4,Medium
372,72,24,89,Yes,6,2,Medium
372,72,22,94,No,6,0,Medium
372,72,24,93,Yes,8,4,Medium
372,72,26,96,No,5,0,High
372,72,28,86,No,10,6,High
372,72,22,98,No,8,1,Medium
372,72,29,95,Yes,9,0,High
372,72,29,78,Yes,7,5,Medium
372,72,31,91,Yes,8,2,Medium
372,72,25,88,Yes,8,1,High
372,72,20,89,Yes,9,2,High
372,72,24,80,No,7,1,High
372,72,25,98,No,7,1,Medium
372,72,32,75,Yes,7,1,Medium
372,72,15,99,Yes,6,1,High
372,72,21,97,No,8,2,High
372,72,24,90,No,8,0,Medium
372,72,22,100,Yes,7,2,Medium
372,72,23,96,Yes,6,5,Medium
372,72,27,89,Yes,7,0,High
372,72,19,95,Yes,6,1,High
372,72,23,90,Yes,10,3,Medium
372,72,25,87,Yes,8,0,High
372,72,29,92,No,8,2,Low
372,72,20,97,Yes,4,1,Medium
372,72,29,93,Yes,7,0,Medium
372,72,24,96,Yes,5,1,Medium
372,72,16,88,Yes,5,4,Medium
372,72,19,90,No,8,2,Medium
372,72,30,86,No,4,2,Medium
372,72,15,100,Yes,5,2,Medium
372,72,19,96,Yes,5,4,Medium
372,72,18,99,Yes,7,1,Medium
372,72,21,100,No,6,1,Medium
372,72,27,88,Yes,7,2,Medium
372,72,26,93,Yes,6,2,Medium
372,72,25,97,No,6,0,High
372,72,28,73,Yes,7,3,High
372,72,24,97,No,5,0,Low
372,72,24,99,Yes,5,0,Medium
372,72,27,90,No,7,0,Medium
372,72,24,92,Yes,8,1,High
372,72,27,95,No,5,3,Medium
372,72,27,98,Yes,6,0,Medium
372,72,28,95,No,8,3,High
372,72,26,92,No,4,2,Medium
372,72,13,92,Yes,7,2,Medium
372,72,22,98,Yes,7,1,Medium
372,72,20,100,Yes,8,3,Medium
372,72,20,91,Yes,5,4,Medium
372,72,28,91,Yes,4,1,Low
372,72,30,100,No,7,2,High
372,72,21,99,No,7,2,Low
372,72,25,83,Yes,7,2,High
372,72,22,92,No,8,2,Medium
372,72,31,94,No,5,1,Low
372,72,28,79,Yes,9,2,Medium
372,72,23,93,No,9,1,Medium
372,72,30,98,Yes,10,0,Medium
372,72,20,98,Yes,6,1,High
372,72,33,86,No,7,1,
372,72,25,99,No,8,1,Medium
372,72,37,73,Yes,6,0,High
372,72,23,97,Yes,8,2,Medium
372,72,23,100,Yes,10,3,Medium
372,72,22,91,Yes,7,2,
372,72,22,93,No,9,3,High
372,72,20,92,Yes,9,3,Medium
372,72,30,84,Yes,9,1,High
372,72,28,76,Yes,6,3,Medium
372,72,21,94,No,6,1,High
372,72,22,99,Yes,5,1,High
372,72,17,92,No,6,4,Low
372,72,26,92,Yes,8,2,Medium
372,72,29,90,Yes,9,0,High
372,72,27,81,Yes,8,0,High
372,72,23,93,Yes,7,1,High
372,72,24,93,Yes,8,0,Medium
372,72,22,99,No,10,1,Medium
372,72,23,100,Yes,4,0,High
372,72,25,92,Yes,9,3,High
372,72,30,94,Yes,6,2,Medium
372,72,19,99,Yes,6,1,Medium
372,72,22,98,Yes,5,2,Medium
372,72,24,86,Yes,9,1,High
372,72,17,94,Yes,4,4,High
372,72,19,100,Yes,7,2,Low
372,72,20,89,No,7,5,Medium
372,72,18,100,Yes,10,1,Medium
372,72,21,98,Yes,7,3,Low
372,72,22,89,No,8,2,Low
372,72,19,97,Yes,9,3,Medium
372,72,24,91,Yes,7,0,Medium
372,72,27,87,Yes,9,1,High
372,72,34,87,No,6,3,Medium
372,72,24,88,No,9,2,High
372,72,30,88,Yes,7,1,High
372,72,18,97,Yes,8,1,Medium
372,72,27,87,Yes,8,3,High
372,72,26,90,No,8,3,High
372,72,18,96,Yes,4,0,High
372,72,34,91,No,9,0,Medium
372,72,19,89,Yes,10,0,Medium
372,72,24,84,No,9,3,Medium
372,72,26,98,No,4,1,High
372,72,27,94,No,9,0,Medium
372,72,19,93,Yes,8,1,High
372,72,26,94,Yes,6,1,High
676,71,29,89,Yes,8,1,Medium
676,71,19,88,Yes,8,3,Medium
676,71,17,97,Yes,6,2,High
676,71,22,83,Yes,6,0,Medium
676,71,18,94,Yes,6,1,Medium
676,71,25,98,Yes,8,0,High
676,71,29,96,Yes,7,1,Medium
676,71,17,86,No,5,3,Medium
676,71,16,97,Yes,6,0,Medium
676,71,28,89,Yes,9,0,Medium
676,71,21,96,No,8,2,High
676,71,22,83,Yes,5,2,High
676,71,31,84,Yes,9,2,Medium
676,71,15,93,No,6,2,High
676,71,20,97,Yes,7,2,Low
676,71,25,91,No,8,2,High
676,71,22,94,Yes,7,2,Medium
676,71,31,84,No,5,0,Medium
676,71,28,99,Yes,6,1,Medium
676,71,22,74,Yes,6,3,High
676,71,23,87,No,8,1,High
676,71,28,88,No,8,0,Medium
676,71,17,97,No,9,0,Medium
676,71,19,97,Yes,8,2,High
676,71,29,92,Yes,10,1,High
676,71,15,86,Yes,8,4,Medium
676,71,27,74,No,8,3,Medium
676,71,25,82,Yes,7,2,Medium
676,71,25,89,Yes,7,3,Medium
676,71,21,83,Yes,6,3,Medium
676,71,24,89,Yes,5,0,High
676,71,36,76,No,6,1,Medium
676,71,24,98,No,8,2,Medium
676,71,21,90,Yes,6,2,High
676,71,26,97,No,8,2,Low
676,71,26,83,Yes,8,2,High
676,71,13,97,No,7,1,High
676,71,27,88,No,7,3,Medium
676,71,29,80,Yes,8,4,Medium
676,71,24,91,No,7,0,Medium
676,71,25,77,No,8,2,Medium
676,71,21,98,No,6,1,Low
676,71,24,92,Yes,6,2,High
676,71,17,98,No,6,3,Medium
676,71,17,92,Yes,9,1,Low
676,71,25,91,No,8,1,High
676,71,16,99,No,6,2,Low
676,71,12,94,Yes,7,3,Medium
676,71,29,90,No,7,0,Medium
676,71,23,86,Yes,8,3,Medium
676,71,21,95,No,4,2,High
676,71,29,92,Yes,4,2,Medium
676,71,20,94,Yes,8,1,Medium
676,71,23,82,No,6,2,Medium
676,71,28,87,Yes,7,2,Medium
676,71,32,82,Yes,8,0,Medium
676,71,17,98,No,9,0,Low
676,71,23,87,No,8,2,Medium
676,71,24,100,Yes,7,1,High
676,71,24,98,Yes,5,0,Medium
676,71,25,93,No,8,0,Medium
676,71,23,92,No,9,1,Medium
676,71,28,92,No,10,4,Medium
676,71,30,76,Yes,6,3,Medium
676,71,16,93,Yes,5,5,Medium
676,71,23,94,Yes,10,1,Medium
676,71,29,91,No,5,2,
676,71,29,89,Yes,8,1,High
676,71,26,90,No,9,0,Low
676,71,16,99,Yes,5,1,Medium
676,71,33,67,Yes,6,4,High
676,71,21,98,Yes,10,0,Medium
676,71,33,87,No,8,0,Medium
676,71,22,85,No,4,1,High
